Name_of_Th,UniqueID,Valley,Area,Latitude,Longitude,Ward_Numbe,Ward_Name,Ward_Couns,Ward_offic,Ward_Conta,Facebook,New_Custod,Custodian,Aream3
Alahalli Kere,11,S,5.25,12.8665414480393,77.56545932278939,196,Anjanapura,Sri. K Somashekhar,"#361, Amrut Nagar Main Road, Opp Real Home Apartment, Anjanapura, Bengaluru-560062",9845966999,https://www.facebook.com/SaveAlahalliLake,BDA,BBMP,60667.479214075487107
Doddakallasandra  kere,12,V,5.49,12.8812487806414,77.562603600884,197,Vasanthpura,Smt. Shobha Gowda,"#16/72/2, Chikkalsandra main Road, Subramanyapura Post, Bengaluru-560061",9901229225,,BDA,BBMP,53050.896290872944519
Thalagattapura lake,13,V,4.82,12.8658653594986,77.5298329884879,198,Hemmigepura,Sri. Arya Srinivas,"#14/4, Arya Nilaya, Bettegowda Layout, 1st Cross Road, Judicial Layout, Talagattapura, Kanakapura Main Road, Bengaluru-560109",966 3151515,https://www.facebook.com/SaveHoramavuLakes,,BBMP,48642.234987434814684
Kembathahali kere,14,H,1.45,12.8576488095364,77.57719246702931,196,Anjanapura,Sri. K Somashekhar,"#361, Amrut Nagar Main Road, Opp Real Home Apartment, Anjanapura, Bengaluru-560062",9845966999,https://www.facebook.com/2300818686796792/posts/beauty-with-curse-kembathalli-lake-near-to-our-apartment/2301182996760361/,BDA,BDA,15888.519866160117090
Vajarahalli Govt.Katte,15,K,0.62,12.8678873675903,77.5437850555367,198,Hemmigepura,Sri. Arya Srinivas,"#14/4, Arya Nilaya, Bettegowda Layout, 1st Cross Road, Judicial Layout, Talagattapura, Kanakapura Main Road, Bengaluru-560109",966 3151515,,BBMP,BBMP,6145.330532256863080
Agrahara Lake,29,H,4.98,13.090269786283,77.6254617925279,5,Jakkuru,Sri Munindra Kumar K A,"# 208/1, Punyakoti Dairy Farm, Kogilu Grama, Yelahanka Post, Bengaluru-560064","9845752211, 9900288555",https://www.facebook.com/Agrahara-Lake-Ward-5-822698528123532/,BBMP,,45506.212158676877152
Allasandra Lake,30,H,14.2,13.0922451362671,77.58874988111759,4,Yelahanka?��?�,Sri. Sathish M,"#16, Bangari Nilaya, 3rd B Main Road, GKVK Post, Someshwara Nagara, Yelahanka Upanagara, Bengaluru-560064",98456 37997,YUVA,BBMP,,147367.902811905543786
Amruthahalli Lake,31,H,9.77,13.0617004331411,77.5962289324972,7,Byatarayanapura,Sri. P V Manjunath (Babu),"#217, Behind Govt. Hospital, Amrutahalli, Sahakar Nagara Post, Bengaluru-560092","9448046271, 9663334791",https://www.facebook.com/Amruthahalli-Lake-and-surroundings-Better-Beautiful-and-Citizens-654952864632277/,,,82059.408187648514286
Basavanapura kere,33,K,4.34,13.0096771068278,77.7142569899441,53,Basavanapura,Sri. B N Jayapraksh,"#136/1, Coconut Garden, Seegehalli, Virgonagar Post, Bengaluru-560049","7411816999, 9741980749",,,,38176.715220580575988
Bhattarahalli kere,34,H,3.72,13.0238045252002,77.708797580238,-na-,Outside BBMP limit,-na-,-na-,-na-,,,,32307.417120693629840
Chellakere kere,35,H,7.92,13.026662089841,77.6463965839058,25,Horamavu,Smt. Radhamma Venkatesh,"#67, Vrushabadri Nilaya, Kaverinagar, Vadaraplaya, Bengaluru-560043",9845010989,,,,48252.966905887238681
